sep=,
Name,totalElements,Number Of States,elementsWithNLC,Number of Features
us.yahoo.com,6004,11,1335,57
bing.com,14679,10,2140,50
google.co.uk,7312,8,1521,48
yandex.com,5238,7,795,38
